
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004083                       # Number of seconds simulated (Second)
simTicks                                   4082858000                       # Number of ticks simulated (Tick)
finalTick                                  4082858000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     10.71                       # Real time elapsed on the host (Second)
hostTickRate                                381122904                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     717776                       # Number of bytes of host memory used (Byte)
simInsts                                      7860781                       # Number of instructions simulated (Count)
simOps                                        7860892                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   733775                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     733785                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          4082861                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.519396                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.925312                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         8320165                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6138                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        8091521                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1034                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               465410                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            456867                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 223                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4064804                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.990630                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.809525                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    930994     22.90%     22.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1109465     27.29%     50.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    861223     21.19%     71.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    212765      5.23%     76.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    266834      6.56%     83.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    584358     14.38%     97.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     69904      1.72%     99.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     21323      0.52%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      7938      0.20%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4064804                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   10083     14.28%     14.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     18      0.03%     14.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      33      0.05%     14.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                  288      0.41%     14.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                60      0.08%     14.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                    26      0.04%     14.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                   20      0.03%     14.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     14.91% # attempts to use FU when none available (Count)
