
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005085                       # Number of seconds simulated (Second)
simTicks                                   5084630000                       # Number of ticks simulated (Tick)
finalTick                                  5084630000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     10.54                       # Real time elapsed on the host (Second)
hostTickRate                                482372211                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     713672                       # Number of bytes of host memory used (Byte)
simInsts                                      7860781                       # Number of instructions simulated (Count)
simOps                                        7860892                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   745736                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     745746                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          5084632                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.646835                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.545988                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         8066416                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6081                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        7996469                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     20                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               211604                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            164964                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 166                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5063411                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.579265                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.138631                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1036551     20.47%     20.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1432902     28.30%     48.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1442602     28.49%     77.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    952034     18.80%     96.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    177814      3.51%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     18332      0.36%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      2948      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       167      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        61      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5063411                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      36      2.92%      2.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     17      1.38%      4.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      24      1.95%      6.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   224     18.18%     24.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     24.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                  270     21.92%     46.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                27      2.19%     48.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                    22      1.79%     50.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    1      0.08%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     50.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     50.41% # attempts to use FU when none available (Count)
